,day,notLoginDays,dayVitality,intervalMean,isLoss
0,1.0,4,0.0,12.0,1
1,1.0,4,1.0,18.0,1
2,1.0,4,1.0,0.3,0
3,1.0,4,1.0,4.0,0
4,0.0,6,0.0,0.2222222222222222,1
5,0.0,6,1.0,0.375,1
6,0.0,6,0.0,0.2222222222222222,1
7,0.0,6,0.0,18.0,1
8,0.0,6,0.0,18.0,1
9,0.0,6,0.0,0.0,0
10,0.0,6,0.0,18.0,0
11,0.0,6,0.0,1.2,0
12,0.0,6,0.0,7.0,0
13,1.0,1,0.0,6.5,1
14,1.0,1,0.0,1.6666666666666667,1
15,5.0,1,5.0,0.3333333333333333,0
16,1.0,1,0.0,4.5,0
17,1.0,1,0.0,3.0,1
18,1.0,1,0.0,9.0,1
19,2.0,1,0.0,3.0,1
20,4.0,1,0.0,1.1666666666666667,0
21,4.0,1,3.0,0.5555555555555556,0
22,4.0,1,2.0,0.3333333333333333,0
23,5.0,1,1.0,0.3333333333333333,0
24,4.0,1,1.0,0.6666666666666666,0
25,3.0,1,0.0,1.3333333333333333,1
26,5.0,1,5.0,0.0,0
27,3.0,1,0.0,1.0,0
28,4.0,1,0.0,0.4545454545454545,0
29,5.0,1,5.0,0.0,0
30,3.0,1,0.0,0.6,0
31,4.0,1,1.0,0.4545454545454545,0
32,5.0,1,3.0,0.4545454545454545,0
33,1.0,1,0.0,4.333333333333333,1
34,3.0,1,4.0,0.2307692307692308,0
35,2.0,1,0.0,2.75,0
36,2.0,1,2.0,4.333333333333333,0
37,1.0,1,0.0,6.0,1
38,5.0,1,5.0,0.07142857142857142,0
39,2.0,0,2.0,1.125,0
40,6.0,0,6.0,0.0,0
41,6.0,0,6.0,0.0,0
42,6.0,0,6.0,0.0,0
43,5.0,0,4.0,0.06666666666666668,0
44,6.0,0,6.0,0.0,0
45,6.0,0,6.0,0.0,0
46,6.0,0,6.0,0.0,1
47,6.0,0,6.0,0.0,0
48,6.0,0,6.0,0.0,0
49,6.0,0,6.0,0.0,0
50,6.0,0,6.0,0.0,0
51,6.0,0,6.0,0.0,0
